,Player,G,MP,%FG_t,Av_Dist(Ft),%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,%FGA_16-3P,%FGA_3P,%FG_2P,%FG_0-3,%FG_3-10,%FG_10-16,%FG_16-3P,%FG_3P,%FG_assisted_2P,%FG_assisted_3P,%DunkAttempts,#_Dunks,%FGA_Corner3,%FG_Corner3,Heave_attempts,Heave_#,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PG%,SG%,SF%,PF%,C%,Unnamed: 74,G%,F%
4,Aaron Gordon,48.625,1387.3125,0.463375,12.725,0.6705625,0.3251875,0.14925,0.1198125,0.076625,0.3294375,0.531,0.701875,0.377875,0.390375,0.3033125,0.3194375,0.5048125,0.8581875,0.1236874999999999,57.4375,0.25575,0.3359375,2.5625,0.0,14.7125,0.544875,0.3294375,0.285,6.03125,17.13125,11.49375,15.1375,1.2375,2.1125,12.83125,20.30625,1.0625,1.3375,2.4,0.0774375,0.0875,-0.18125,-0.09375,0.6875,43.0625,8.19375,17.7,0.463375,1.93125,5.90625,0.3194375,6.25,11.7875,0.531,3.425,5.075,0.6818125,2.75,7.6375,10.4,4.85625,1.2375,1.1625,2.95,3.35625,21.70625,108.0625,111.75,0.0,0.02,0.180625,0.80875,0.025714286,,0.02,0.989375
6,Aaron Harrison,11.666666666666666,114.33333333333331,0.1793333333333333,19.433333333333334,0.4503333333333333,0.109,0.032,0.0289999999999999,0.2803333333333333,0.5496666666666666,0.2023333333333333,0.5625,0.1665,0.333,0.074,0.1696666666666666,0.65,0.8335,0.0,0.0,0.393,0.111,0.0,0.0,2.4,0.2883333333333333,0.5496666666666666,0.4593333333333333,2.1666666666666665,14.166666666666666,8.066666666666666,10.766666666666667,1.7,0.2666666666666666,5.966666666666666,14.033333333333331,-0.2,0.1,-0.066666667,-0.058,-8.033333333,-0.466666667,-8.533333333,-0.133333333,1.0,2.2666666666666666,12.333333333333334,0.1793333333333333,1.1666666666666667,6.866666666666667,0.1696666666666666,1.1,5.466666666666666,0.2023333333333333,2.833333333333333,5.366666666666667,0.5606666666666666,1.0333333333333334,6.366666666666667,7.399999999999999,4.133333333333334,1.7,0.1333333333333333,0.9333333333333336,5.7,8.533333333333333,73.0,108.33333333333331,0.38,0.325,0.533333333,0.38,0.0,,0.7050000000000001,0.913333333
7,Aaron Henry,6.0,17.0,0.2,12.0,0.8,0.2,0.2,0.4,0.0,0.2,0.25,1.0,0.0,0.0,,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,-7.4,0.2,0.2,0.0,0.0,6.5,3.3,0.0,0.0,10.6,28.6,18.5,-0.1,0.0,-0.1,-0.306,-14.0,-2.4,-16.5,-0.1,0.0,2.9,14.7,0.2,0.0,2.9,0.0,2.9,11.7,0.25,0.0,0.0,,0.0,2.9,2.9,0.0,0.0,5.9,5.9,5.9,5.9,29.0,111.0,0.0,0.11,0.69,0.21,0.0,,0.11,0.8999999999999999
12,Aaron Nesmith,49.0,621.5,0.417,17.75,0.3805,0.1475,0.1585,0.0419999999999999,0.033,0.6194999999999999,0.5775,0.7685,0.456,0.3055,0.6,0.32,0.626,0.9675,0.0305,4.5,0.3905,0.2885,0.0,0.0,8.35,0.54,0.6194999999999999,0.15,3.75,15.1,9.5,5.0,1.4,1.05,12.3,15.45,0.05,0.75,0.75,0.0569999999999999,-3.85,0.1499999999999999,-3.75,-0.25,2.0,5.95,14.4,0.417,2.8,8.95,0.32,3.15,5.449999999999999,0.5775,1.7000000000000002,2.15,0.797,1.65,6.800000000000001,8.5,1.7999999999999998,1.4,0.55,2.2,6.25,16.45,104.0,111.0,0.01,0.255,0.62,0.125,0.0,,0.265,0.745
13,Aaron Wiggins,50.0,1209.0,0.463,12.7,0.591,0.249,0.318,0.018,0.006,0.409,0.573,0.655,0.514,0.5,0.5,0.304,0.561,0.976,0.05,15.0,0.362,0.34,0.0,0.0,10.3,0.556,0.409,0.252,4.3,11.0,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7,35.0,6.3,13.6,0.463,1.7,5.6,0.304,4.6,8.0,0.573,2.5,3.4,0.729,2.1,5.1,7.2,2.7,1.2,0.4,2.2,3.7,16.8,107.0,116.0,0.04,0.43,0.49,0.04,0.0,,0.47,0.53
15,Abdel Nader,40.4,516.6,0.4122,13.3,0.5682,0.306,0.2131999999999999,0.0291999999999999,0.0196,0.4317999999999999,0.461,0.6252000000000001,0.2986,0.20725,0.22925,0.3508,0.5391999999999999,0.981,0.0354,4.8,0.3576,0.3638,0.4,0.0,8.7,0.5176000000000001,0.4317999999999999,0.257,2.38,14.44,8.459999999999999,6.1,1.62,1.98,14.86,16.64,-0.08,0.66,0.5599999999999999,0.0416,-3.68,0.78,-2.88,-0.06,1.6,5.94,14.24,0.4122,2.18,6.14,0.3508,3.78,8.1,0.461,2.56,3.64,0.694,1.04,6.5,7.56,2.16,1.62,1.1,2.74,4.92,16.6,96.4,107.8,0.04,0.238,0.626,0.13,0.0,,0.27799999999999997,0.756
18,Adam Mokoka,12.5,84.0,0.3984999999999999,13.95,0.469,0.425,0.0265,0.0,0.018,0.531,0.5645,0.625,0.0,,0.0,0.25,0.5,1.0,0.0,0.0,0.4165,0.354,0.0,0.0,5.199999999999999,0.462,0.531,0.098,4.3,5.45,4.9,8.45,1.7,0.8,13.4,15.5,-0.05,0.1,0.05,-0.0195,-5.3,-1.4,-6.7,-0.1,0.0,5.65,14.2,0.3984999999999999,1.75,7.6,0.25,3.9,6.699999999999999,0.5645,0.45,1.3,0.25,1.95,2.4,4.3,3.0,1.7,0.45,2.6,5.8,13.4,94.0,113.5,0.11,0.335,0.435,0.36,0.01,,0.445,0.7949999999999999
19,Adam Morrison,38.27272727272727,621.1818181818181,0.3552727272727272,17.863636363636363,0.6257272727272727,0.1047272727272727,0.079636364,0.116,0.3251818181818182,0.3742727272727272,0.3823636363636364,0.5546363636363636,0.3635,0.6040909090909091,0.2569090909090909,0.3031818181818181,0.5724545454545455,0.9154545454545456,0.0243636363636363,1.181818181818182,0.2814545454545454,0.5591818181818181,0.090909091,0.090909091,5.318181818181818,0.4301818181818182,0.3742727272727272,0.1257272727272727,3.754545454545455,11.6,7.727272727272727,9.745454545454546,0.4909090909090908,0.3454545454545454,13.57272727272727,17.60909090909091,-0.545454545,0.3909090909090909,-0.109090909,-0.012818182,-4.309090909,-1.627272727,-5.936363636,-0.454545455,4.818181818181818,5.963636363636363,16.7,0.3552727272727272,1.945454545454545,6.227272727272728,0.3031818181818181,4.045454545454546,10.472727272727273,0.3823636363636364,1.3818181818181818,2.0818181818181816,0.6670909090909091,1.6636363636363638,5.2,6.909090909090909,3.3363636363636364,0.4909090909090908,0.209090909090909,2.7181818181818183,5.163636363636364,15.236363636363636,88.90909091,110.0,0.0,0.045,0.682727273,0.41,0.011428571,,0.045,1.092727273
20,Ade Murkey,1.0,1.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.017,-7.4,-2.3,-9.7,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,124.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0
21,Admiral Schofield,35.5,418.5,0.3994999999999999,18.1,0.3625,0.1495,0.159,0.0385,0.015,0.6375,0.538,0.6014999999999999,0.4405,0.6335,0.75,0.32,0.701,0.981,0.028,1.5,0.3309999999999999,0.4225,1.5,0.0,6.8,0.52,0.6375,0.1395,2.9,14.35,8.5,6.6,0.7,0.95,10.0,13.2,0.0,0.2,0.2,0.022,-4.25,-1.2,-5.45,-0.35,1.5,5.0,12.5,0.3994999999999999,2.55,7.9,0.32,2.45,4.55,0.538,1.25,1.7,0.7335,1.35,6.25,7.6,2.25,0.7,0.5,1.55,6.2,13.85,103.0,116.5,0.0,0.04,0.42,0.525,0.07,,0.04,0.9450000000000001
