,Player,G,MP,%FG_t,Av_Dist(Ft),%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,%FGA_16-3P,%FGA_3P,%FG_2P,%FG_0-3,%FG_3-10,%FG_10-16,%FG_16-3P,%FG_3P,%FG_assisted_2P,%FG_assisted_3P,%DunkAttempts,#_Dunks,%FGA_Corner3,%FG_Corner3,Heave_attempts,Heave_#,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PG%,SG%,SF%,PF%,C%,Unnamed: 74,G%,F%
0,A.J. Guyton,2.0,9.0,0.0,26.5,0.75,0.0,0.25,0.0,0.5,0.25,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,1.0,0.0,-9.0,0.0,0.25,0.0,0.0,0.0,0.0,28.7,5.7,0.0,20.0,23.6,-0.1,0.0,-0.1,-0.45,-14.1,-2.3,-16.4,0.0,0.0,0.0,22.6,0.0,0.0,5.7,0.0,0.0,17.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.3,5.7,0.0,5.7,0.0,0.0,24.0,107.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0
2,A.J. Price,21.09523809523809,295.0952380952381,0.3363809523809524,18.128571428571423,0.5648571428571428,0.054380952,0.1108571428571428,0.1578571428571428,0.2418095238095238,0.4351428571428571,0.4405714285714286,0.4304705882352941,0.5182941176470588,0.4359523809523809,0.4087619047619047,0.1966666666666666,0.1252857142857143,0.6997692307692307,0.0,0.0,0.1666190476190476,0.2002380952380952,0.3333333333333333,0.0,9.48095238095238,0.4017142857142857,0.4351428571428571,0.1462380952380952,2.095238095238096,9.3,5.704761904761905,22.54285714285714,1.119047619047619,0.038095238,9.333333333333334,20.81428571428572,0.0523809523809523,0.2476190476190476,0.3238095238095238,0.005333333,-2.285714286,-1.276190476,-3.533333333,0.028571429,1.1904761904761905,6.971428571428572,20.15714285714286,0.3363809523809524,1.9,8.680952380952382,0.1966666666666666,5.071428571428571,11.442857142857145,0.4405714285714286,2.0857142857142854,3.1,0.6506470588235294,0.9428571428571428,4.280952380952381,5.223809523809524,7.261904761904762,1.119047619047619,0.0285714285714285,2.242857142857143,2.8380952380952382,17.9,91.0,109.0,0.985238095,0.0775,0.0,0.0,0.0,,1.062738095,0.0
3,Aaron Brooks,46.02941176470589,959.6764705882352,0.3999705882352941,15.944117647058825,0.5743235294117648,0.2226764705882352,0.1443529411764706,0.074588235,0.1328235294117647,0.4256764705882353,0.4346176470588235,0.5369999999999999,0.3608064516129032,0.443258064516129,0.3488823529411765,0.3494117647058823,0.2302941176470588,0.6728529411764705,0.000588235,0.2352941176470588,0.1579411764705882,0.3731764705882353,3.7058823529411766,0.1764705882352941,12.032352941176471,0.5082352941176471,0.4256764705882353,0.1765,2.341176470588235,6.214705882352941,4.273529411764706,23.75,1.4411764705882353,0.9647058823529412,15.723529411764709,21.81764705882353,0.711764706,0.4470588235294118,1.1676470588235297,0.045058824,-0.705882353,-1.341176471,-2.044117647,0.094117647,11.852941176470589,7.761764705882352,19.529411764705884,0.3999705882352941,2.861764705882353,8.273529411764706,0.3494117647058823,4.917647058823529,11.270588235294117,0.4346176470588235,3.014705882352941,3.570588235294118,0.8398387096774194,1.0470588235294118,2.794117647058824,3.835294117647059,7.620588235294116,1.4411764705882353,0.6205882352941177,3.8735294117647054,4.9794117647058815,21.41470588235294,101.91176470588236,111.41176470588236,1.0,0.0,0.0,0.0,0.0,,1.0,0.0
8,Aaron Holiday,46.66666666666666,797.0833333333334,0.4316666666666666,13.816666666666668,0.6650833333333334,0.1835833333333333,0.263,0.1465833333333333,0.07225,0.3349166666666667,0.4574166666666666,0.5964166666666667,0.4245833333333333,0.38375,0.29675,0.38325,0.3507499999999999,0.7491666666666666,0.004083333,0.3333333333333333,0.1478333333333333,0.45525,0.25,0.0,12.425,0.5357500000000001,0.3349166666666667,0.2024166666666667,2.4916666666666667,10.058333333333334,6.341666666666666,20.666666666666668,1.975,0.775,14.791666666666666,19.183333333333334,0.2416666666666667,0.725,0.9916666666666668,0.069166667,-1.875,0.1583333333333333,-1.766666667,0.0166666666666666,10.916666666666666,7.216666666666666,16.741666666666667,0.4316666666666666,2.1666666666666665,5.633333333333333,0.38325,5.05,11.083333333333334,0.4574166666666666,2.9416666666666664,3.3833333333333333,0.85925,1.1166666666666665,4.575,5.691666666666666,7.325,1.975,0.4416666666666666,3.1666666666666665,4.366666666666666,19.491666666666667,106.66666666666669,112.0,0.991666667,0.014285714,0.0,0.0,0.0,,1.005952381,0.0
9,Aaron Jackson,1.0,35.0,0.333,13.7,0.556,0.222,0.333,0.0,0.0,0.444,0.4,0.5,0.333,,,0.25,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2.4,0.405,0.444,0.222,6.5,3.2,4.8,4.0,0.0,0.0,9.2,13.7,0.0,0.0,0.0,-0.017,-6.6,-2.3,-8.9,-0.1,0.0,4.2,12.7,0.333,1.4,5.6,0.25,2.8,7.0,0.4,1.4,2.8,0.5,2.8,1.4,4.2,1.4,0.0,0.0,1.4,5.6,11.2,91.0,114.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0
10,Aaron McKie,49.4,1171.2,0.4429999999999999,15.36,0.7859999999999999,0.1684,0.0912,0.1264,0.4002,0.214,0.4756,0.7005,0.497,0.3652,0.4364,0.27225,0.6708000000000001,0.9743333333333334,0.0006,0.4,0.5705,0.31425,0.6,0.0,9.92,0.4952,0.214,0.1346,2.26,14.62,8.44,15.14,2.22,0.4800000000000001,17.96,10.66,1.02,1.4,2.42,0.0754,-2.38,1.4200000000000002,-0.96,0.8,16.8,4.3,9.58,0.4429999999999999,0.72,2.12,0.27225,3.58,7.5,0.4756,1.12,1.5,0.6795,1.02,6.5600000000000005,7.56,5.14,2.22,0.32,2.1,4.279999999999999,10.46,101.6,104.8,0.385,0.328,0.6,0.06,0.0,,0.7130000000000001,0.6599999999999999
11,Aaron Miles,19.0,118.0,0.333,10.3,1.0,0.278,0.222,0.111,0.389,0.0,0.333,0.4,0.0,0.5,0.429,,0.333,,0.0,0.0,,,0.0,0.0,6.0,0.405,0.0,0.222,0.0,13.6,6.6,29.5,1.7,0.6,35.8,11.6,-0.2,0.1,0.0,-0.015,-5.7,0.8,-5.0,-0.1,0.0,2.6,7.8,0.333,0.0,0.0,,2.6,7.8,0.333,1.7,1.7,1.0,0.0,6.1,6.1,10.5,1.7,0.4,4.8,5.7,7.0,82.0,107.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0
16,Acie Law,23.14814814814815,283.44444444444446,0.4264814814814815,8.929629629629629,0.7982962962962963,0.5006296296296296,0.1132962962962963,0.092555556,0.092111111,0.2018518518518518,0.4787777777777777,0.5628518518518518,0.1278518518518518,0.7291851851851852,0.2632,0.2049259259259259,0.2709629629629629,0.60165,0.024407407,0.7037037037037037,0.416037037037037,0.2780869565217391,0.037037037037037,0.0,11.996296296296295,0.5244074074074073,0.2018518518518518,0.5652592592592592,1.4962962962962962,6.892592592592592,4.207407407407407,17.374074074074073,2.2777777777777777,0.4444444444444444,16.140740740740743,19.86296296296296,0.1185185185185185,0.1407407407407407,0.2888888888888888,0.052666667,-2.796296296,-0.462962963,-3.277777778,-0.103703704,0.5555555555555556,6.37037037,15.403703703703703,0.4264814814814815,0.637037037,2.855555555555555,0.2049259259259259,5.7444444444444445,12.555555555555555,0.4787777777777777,6.425925925925926,8.303703703703704,0.7623703703703704,0.6555555555555556,3.062962962962963,3.744444444444444,5.903703703703704,2.2925925925925927,0.2777777777777778,3.6222222222222222,4.092592592592593,19.85555555555556,103.62962962962963,109.29629629629628,0.672173913,0.365,0.233333333,0.0,0.0,,1.037173913,0.233333333
17,Adam Harrington,12.666666666666666,74.0,0.294,16.9,0.632,0.217,0.054333333,0.0,0.36,0.368,0.2693333333333333,0.25,0.0,,0.297,0.3513333333333333,0.8333333333333334,1.0,0.0256666666666666,0.0,0.1083333333333333,0.5,0.0,0.0,6.4,0.3833333333333333,0.368,0.1086666666666666,0.8333333333333334,7.2666666666666675,3.933333333333333,16.266666666666666,1.0,0.8999999999999999,5.0,17.799999999999997,-0.033333333,0.033333333,0.033333333,-0.013,-4.8,-1.433333333,-6.2,-0.066666667,0.0,5.266666666666667,18.53333333333333,0.294,2.233333333333333,6.199999999999999,0.3513333333333333,3.033333333333333,12.3,0.2693333333333333,1.6333333333333333,2.033333333333333,0.75,0.3999999999999999,3.233333333333333,3.633333333333333,5.199999999999999,1.0,0.6333333333333333,1.2333333333333334,3.633333333333333,14.366666666666667,91.66666666666669,106.66666666666669,0.25,0.563333333,0.19,0.0,0.0,,0.813333333,0.19
25,Adrian Griffin,34.142857142857146,417.5,0.3952857142857143,9.414285714285713,0.9789285714285716,0.3357142857142857,0.1854285714285714,0.2115714285714285,0.2462857142857142,0.021071429,0.3968571428571428,0.5176428571428572,0.3465714285714286,0.3267142857142857,0.2631428571428572,0.1944,0.4798571428571428,0.6666666666666666,0.0025,0.5,0.275,0.2136666666666666,0.2857142857142857,0.0,9.178571428571429,0.4182142857142857,0.021071429,0.1483571428571428,8.914285714285715,13.235714285714286,11.1,12.278571428571428,2.8285714285714287,0.5785714285714285,19.092857142857145,13.071428571428571,5.9476233462061954e-18,0.5714285714285714,0.6071428571428571,0.035642857,-3.7,1.9357142857142855,-1.75,0.1142857142857143,7.714285714285714,4.571428571428571,11.471428571428572,0.3952857142857143,0.057142857,0.2142857142857142,0.1944,4.514285714285714,11.257142857142856,0.3968571428571428,1.0571428571428572,1.65,0.6508571428571429,4.121428571428572,6.071428571428571,10.19285714285714,4.2,2.8285714285714287,0.3857142857142857,2.9,5.114285714285714,10.264285714285714,91.42857142857144,104.07142857142856,0.135714286,0.514285714,0.407142857,0.035,0.0,,0.65,0.442142857
