,Total Mean,TotalStd,g_mean,g_std,f_mean,f_std,c_mean,c_std
PTS,17.294499113426493,6.79581254563406,17.841639610056603,7.208121714154249,17.045039171645975,6.378816481169848,16.691889593521736,6.7091781906565275
ORB,2.523700519942565,2.5308993440520835,1.1657288497873959,0.9630475477120205,2.790017545455885,2.6474060614919313,4.561873280895256,2.7838835318351824
ORB%,5.576001461050489,5.456731229173128,2.5745407427870224,2.110972803777095,6.1578372905756735,5.584260014470397,10.092982011907623,6.041191564983133
%FG_0-3,0.5899288544377771,0.15346834247138483,0.5565133794683693,0.16538184748908497,0.6116207462503905,0.1418263363815302,0.6103948412219775,0.14170630566315992
%FG_3-10,0.3443880232402553,0.1692464994563202,0.3287914471180317,0.17020932447296178,0.3469565236107238,0.1723331121773497,0.3681129044095104,0.15852845560800732
%FGA_0-3,0.3096826515624117,0.18425620829230385,0.2315850307311421,0.13301194006776573,0.30510384639869154,0.1716334376242034,0.46539038547407074,0.19315119834736091
%FGA_3-10,0.1567445904378743,0.11125485522584438,0.12769796293671848,0.09211952121456657,0.14753207220445025,0.10544348880115598,0.22952740586489942,0.12353261443006505
FTr,0.2793174516227949,0.22139778557388057,0.24192256277289015,0.18495658865351328,0.25727735367627047,0.18323802102060657,0.3928607056392276,0.301504726115065
OBPM,-2.936801275931283,6.2823662315421975,-2.8073395878993765,4.701362899724372,-2.945118482625923,8.177393130649586,-3.212325635935301,4.434026168107147
STL,1.5729179225381529,1.178286684726161,1.8019978357017388,1.1959983059550678,1.4822710093701563,1.0668757539514053,1.316554551731827,1.2722086914874184
BLK,0.9735596235455476,1.1411410794278267,0.40377452543050735,0.43880610054748226,0.9803560591775767,1.0314594052689932,2.024032564884777,1.4575029848827168
STL%,1.572777128352289,1.178058028277553,1.801821445119693,1.1959126679800876,1.4822312935372006,1.066738613099332,1.31628842642226,1.2715663795722312
BLK%,1.565663905186757,1.8540959771946524,0.665244632030029,0.7356057576709855,1.578048488969965,1.7183192799518083,3.222556949439448,2.3505422818546644
DRtg,108.68986611352547,4.839539373665165,110.06751589733928,4.462939278568908,108.65601826281745,4.636202117586503,106.18875083382163,4.8807848146189485
DRB,6.296324853933168,2.913816376777213,4.485070941298861,1.7703139896584492,6.787881413037364,2.7538095395042825,8.730721509481743,2.7891345910107908
DRB%,14.00134151845492,6.466232885614717,9.974977077852671,3.921286585935998,15.095762599405248,6.105818731706374,19.41077811787397,6.1923273885219015
DBPM,-0.511543524581847,2.0275260846814653,-0.6189144634882984,1.882394111423236,-0.5505101371243755,1.7700788963616148,-0.24945468846704558,2.641701740658787
VORP,0.20842998613870922,0.7267098921477386,0.20841505364304555,0.7454096642409254,0.20689303933589692,0.7102920914764667,0.20817395794419788,0.7212888280198207
3P%,0.26156246826433954,0.14285351353303974,0.29456991351723205,0.1254024248689733,0.26381936592141764,0.13112004148225578,0.1715066383317457,0.1715886689384466
%FG_10-16,0.3442248045132436,0.18742836913865318,0.3552097490040208,0.18702543630962004,0.341238635190915,0.18787203855137344,0.3309125394464245,0.18922785357010352
%FG_16-3P,0.3315166255258773,0.17447585835233914,0.34260188180778,0.16271267924695323,0.3298447106992437,0.17854228067878614,0.31073485043349264,0.18949626876465134
FT%,0.711801604854674,0.15257040208012396,0.7569742882777393,0.1432083044602382,0.7045548444505675,0.14510545539098538,0.6425956845335478,0.15578452919330946
AST%,11.643708455874332,8.440945452930672,17.506346521146074,8.9876604778281,8.35064962221586,5.070314704102848,6.902339752066307,5.709360286148961
TOV,2.8940561967144873,1.8296991028209644,3.2048579720087345,1.7855901657316755,2.575575019389023,1.642850049388045,2.925294874303019,2.1351313272880277
%FG_assisted_2P,0.5536089843660417,0.20977071451243479,0.4252514779602664,0.21258255809495283,0.6190530706141706,0.16428809548572793,0.6677470648262579,0.15071664503622711
%FG_assisted_3P,0.8700291345620823,0.17479807928133007,0.8050679712020947,0.18307796724793268,0.9198011846156277,0.14114329115472526,0.9375730151084017,0.16445779873230174
