Player,G,MP,%FG_t,Av_Dist(Ft),%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,%FGA_16-3P,%FGA_3P,%FG_2P,%FG_0-3,%FG_3-10,%FG_10-16,%FG_16-3P,%FG_3P,%FG_assisted_2P,%FG_assisted_3P,%DunkAttempts,#_Dunks,%FGA_Corner3,%FG_Corner3,Heave_attempts,Heave_#,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PG%,SG%,SF%,PF%,C%,
A.J. Guyton,2,9,0,26.5,0.75,0,0.25,0,0.5,0.25,0,,0,,0,0,,,0,0,0,,1,0,-9,0,0.25,0,0,0,0,28.7,5.7,0,20,23.6,-0.1,0,-0.1,-0.45,-14.1,-2.3,-16.4,0,0,0,22.6,0,0,5.7,0,0,17,0,0,0,,0,0,0,11.3,5.7,0,5.7,0,0,24,107,1,0,0,0,0,
A.J. Hammons,22,163,0.405,15.4,0.762,0.19,0.071,0.143,0.357,0.238,0.375,0.5,0,0.167,0.467,0.5,0.917,1,0.095,4,0.2,0,0,0,8.4,0.472,0.238,0.476,5.4,21,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0,-0.001,-6.6,0,-6.6,-0.2,0,5.4,13.4,0.405,1.6,3.2,0.5,3.8,10.2,0.375,2.9,6.4,0.45,2.6,8.9,11.5,1.3,0.3,4.2,3.2,6.7,15.3,87,106,0,0,0,0.02,0.98,
A.J. Price,21.095238095238095,295.0952380952381,0.3363809523809524,18.128571428571426,0.5648571428571428,0.054380952,0.11085714285714285,0.15785714285714286,0.24180952380952384,0.43514285714285716,0.4405714285714286,0.43047058823529416,0.5182941176470588,0.4359523809523809,0.40876190476190477,0.19666666666666666,0.1252857142857143,0.6997692307692307,0,0,0.1666190476190476,0.20023809523809524,0.3333333333333333,0,9.480952380952381,0.4017142857142857,0.43514285714285716,0.14623809523809522,2.0952380952380953,9.3,5.704761904761905,22.54285714285714,1.119047619047619,0.038095238,9.333333333333334,20.814285714285717,0.052380952380952375,0.24761904761904763,0.3238095238095238,0.005333333,-2.285714286,-1.276190476,-3.533333333,0.028571429,1.1904761904761905,6.9714285714285715,20.15714285714286,0.3363809523809524,1.9,8.680952380952382,0.19666666666666666,5.071428571428571,11.442857142857143,0.4405714285714286,2.0857142857142854,3.0999999999999996,0.6506470588235294,0.9428571428571428,4.280952380952381,5.223809523809524,7.261904761904762,1.119047619047619,0.028571428571428574,2.242857142857143,2.8380952380952382,17.9,91,109,0.985238095,0.0775,0,0,0,
Aaron Brooks,46.029411764705884,959.6764705882352,0.39997058823529413,15.944117647058825,0.5743235294117648,0.22267647058823528,0.1443529411764706,0.074588235,0.1328235294117647,0.4256764705882353,0.4346176470588235,0.5369999999999999,0.36080645161290326,0.44325806451612904,0.3488823529411765,0.3494117647058823,0.23029411764705882,0.6728529411764705,0.000588235,0.23529411764705882,0.15794117647058825,0.37317647058823533,3.7058823529411766,0.17647058823529413,12.032352941176471,0.5082352941176471,0.4256764705882353,0.17650000000000002,2.341176470588235,6.214705882352941,4.273529411764706,23.75,1.4411764705882353,0.9647058823529411,15.723529411764707,21.81764705882353,0.711764706,0.4470588235294118,1.1676470588235295,0.045058824,-0.705882353,-1.341176471,-2.044117647,0.094117647,11.852941176470589,7.761764705882352,19.529411764705884,0.39997058823529413,2.861764705882353,8.273529411764706,0.3494117647058823,4.917647058823529,11.270588235294117,0.4346176470588235,3.014705882352941,3.570588235294118,0.8398387096774194,1.0470588235294118,2.7941176470588234,3.835294117647059,7.620588235294116,1.4411764705882353,0.6205882352941177,3.8735294117647054,4.9794117647058815,21.41470588235294,101.91176470588235,111.41176470588235,1,0,0,0,0,
Aaron Gordon,48.625,1387.3125,0.463375,12.725,0.6705625,0.3251875,0.14925,0.1198125,0.076625,0.3294375,0.531,0.701875,0.377875,0.390375,0.3033125,0.3194375,0.5048125,0.8581875,0.12368749999999999,57.4375,0.25575000000000003,0.3359375,2.5625,0,14.7125,0.544875,0.3294375,0.285,6.03125,17.13125,11.49375,15.137500000000001,1.2375,2.1125,12.83125,20.30625,1.0625,1.3375,2.4,0.0774375,0.0875,-0.18125,-0.09375,0.6875,43.0625,8.19375,17.7,0.463375,1.93125,5.90625,0.3194375,6.25,11.7875,0.531,3.425,5.075,0.6818125,2.75,7.6375,10.4,4.85625,1.2375,1.1625,2.95,3.35625,21.70625,108.0625,111.75,0,0.02,0.180625,0.80875,0.025714286,
Aaron Gray,28.82608695652174,312.2173913043478,0.5033913043478261,4.130434782608695,0.9952173913043478,0.5577826086956522,0.31778260869565217,0.10778260869565218,0.011434782608695652,0.004782609,0.5055652173913043,0.5515217391304348,0.44882608695652176,0.4046,0.8214375,0,0.5588695652173914,,0.03273913,3.130434782608696,0,,0.043478260869565216,0,10.726086956521739,0.5208260869565218,0.004782609,0.38830434782608697,14.360869565217392,23.695652173913043,19,10.773913043478261,1.0739130434782609,1.608695652173913,24.13478260869565,15.939130434782607,0.11739130434782608,0.3869565217391305,0.4826086956521739,0.059478261,-4.22173913,-0.104347826,-4.32173913,-0.095652174,5.086956521739131,5.8999999999999995,12.082608695652173,0.5033913043478261,0,0.047826087,0,5.8999999999999995,12.039130434782608,0.5055652173913043,2.482608695652174,4.543478260869565,0.5689565217391305,6.495652173913044,10.591304347826087,17.08695652173913,3.682608695652174,1.0739130434782609,1.056521739130435,4.230434782608696,10.395652173913044,14.243478260869566,99.43478260869566,105.69565217391305,0,0,0,0,1,
Aaron Harrison,11.666666666666666,114.33333333333333,0.17933333333333334,19.433333333333334,0.4503333333333333,0.109,0.032,0.028999999999999998,0.2803333333333333,0.5496666666666666,0.20233333333333334,0.5625,0.1665,0.333,0.074,0.16966666666666666,0.65,0.8335,0,0,0.393,0.111,0,0,2.4,0.28833333333333333,0.5496666666666666,0.45933333333333337,2.1666666666666665,14.166666666666666,8.066666666666666,10.766666666666667,1.7,0.26666666666666666,5.966666666666666,14.033333333333333,-0.2,0.10000000000000002,-0.066666667,-0.058,-8.033333333,-0.466666667,-8.533333333,-0.133333333,1,2.2666666666666666,12.333333333333334,0.17933333333333334,1.1666666666666667,6.866666666666667,0.16966666666666666,1.1,5.466666666666666,0.20233333333333334,2.8333333333333335,5.366666666666667,0.5606666666666666,1.0333333333333334,6.366666666666667,7.3999999999999995,4.133333333333334,1.7,0.13333333333333333,0.9333333333333335,5.7,8.533333333333333,73,108.33333333333333,0.38,0.325,0.533333333,0.38,0,
Aaron Henry,6,17,0.2,12,0.8,0.2,0.2,0.4,0,0.2,0.25,1,0,0,,0,1,,0,0,0,,0,0,-7.4,0.2,0.2,0,0,6.5,3.3,0,0,10.6,28.6,18.5,-0.1,0,-0.1,-0.306,-14,-2.4,-16.5,-0.1,0,2.9,14.7,0.2,0,2.9,0,2.9,11.7,0.25,0,0,,0,2.9,2.9,0,0,5.9,5.9,5.9,5.9,29,111,0,0.11,0.69,0.21,0,
Aaron Holiday,46.666666666666664,797.0833333333334,0.43166666666666664,13.816666666666668,0.6650833333333334,0.18358333333333332,0.263,0.14658333333333334,0.07225,0.3349166666666667,0.45741666666666664,0.5964166666666667,0.4245833333333333,0.38375,0.29675,0.38325000000000004,0.35074999999999995,0.7491666666666666,0.004083333,0.3333333333333333,0.14783333333333334,0.45525,0.25,0,12.424999999999999,0.5357500000000001,0.3349166666666667,0.2024166666666667,2.4916666666666667,10.058333333333334,6.341666666666666,20.666666666666668,1.9749999999999999,0.775,14.791666666666666,19.183333333333334,0.2416666666666667,0.725,0.9916666666666667,0.069166667,-1.875,0.15833333333333333,-1.766666667,0.016666666666666677,10.916666666666666,7.216666666666666,16.741666666666667,0.43166666666666664,2.1666666666666665,5.633333333333333,0.38325000000000004,5.05,11.083333333333334,0.45741666666666664,2.9416666666666664,3.3833333333333333,0.85925,1.1166666666666665,4.575,5.691666666666666,7.325,1.9749999999999999,0.44166666666666665,3.1666666666666665,4.366666666666666,19.491666666666667,106.66666666666667,112,0.991666667,0.014285714,0,0,0,
Aaron Jackson,1,35,0.333,13.7,0.556,0.222,0.333,0,0,0.444,0.4,0.5,0.333,,,0.25,0.5,0,0,0,0.25,0,0,0,2.4,0.405,0.444,0.222,6.5,3.2,4.8,4,0,0,9.2,13.7,0,0,0,-0.017,-6.6,-2.3,-8.9,-0.1,0,4.2,12.7,0.333,1.4,5.6,0.25,2.8,7,0.4,1.4,2.8,0.5,2.8,1.4,4.2,1.4,0,0,1.4,5.6,11.2,91,114,1,0,0,0,0,
