,Player,G,MP,%FG_t,Av_Dist(Ft),%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,%FGA_16-3P,%FGA_3P,%FG_2P,%FG_0-3,%FG_3-10,%FG_10-16,%FG_16-3P,%FG_3P,%FG_assisted_2P,%FG_assisted_3P,%DunkAttempts,#_Dunks,%FGA_Corner3,%FG_Corner3,Heave_attempts,Heave_#,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PG%,SG%,SF%,PF%,C%,Unnamed: 74,G%,F%
1,A.J. Hammons,22.0,163.0,0.405,15.4,0.762,0.19,0.071,0.143,0.357,0.238,0.375,0.5,0.0,0.167,0.467,0.5,0.917,1.0,0.095,4.0,0.2,0.0,0.0,0.0,8.4,0.472,0.238,0.476,5.4,21.0,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0.0,-0.001,-6.6,0.0,-6.6,-0.2,0.0,5.4,13.4,0.405,1.6,3.2,0.5,3.8,10.2,0.375,2.9,6.4,0.45,2.6,8.9,11.5,1.3,0.3,4.2,3.2,6.7,15.3,87.0,106.0,0.0,0.0,0.0,0.02,0.98,,0.0,0.02
5,Aaron Gray,28.82608695652174,312.2173913043478,0.5033913043478261,4.130434782608695,0.9952173913043478,0.5577826086956522,0.3177826086956521,0.1077826086956521,0.0114347826086956,0.004782609,0.5055652173913043,0.5515217391304348,0.4488260869565217,0.4046,0.8214375,0.0,0.5588695652173914,,0.03273913,3.130434782608696,0.0,,0.0434782608695652,0.0,10.72608695652174,0.5208260869565218,0.004782609,0.3883043478260869,14.360869565217392,23.695652173913043,19.0,10.77391304347826,1.0739130434782609,1.608695652173913,24.13478260869565,15.939130434782609,0.117391304347826,0.3869565217391305,0.4826086956521739,0.059478261,-4.22173913,-0.104347826,-4.32173913,-0.095652174,5.086956521739131,5.9,12.082608695652173,0.5033913043478261,0.0,0.047826087,0.0,5.9,12.039130434782608,0.5055652173913043,2.482608695652174,4.543478260869565,0.5689565217391305,6.495652173913044,10.591304347826089,17.08695652173913,3.682608695652174,1.0739130434782609,1.056521739130435,4.230434782608696,10.395652173913044,14.243478260869566,99.43478260869566,105.69565217391305,0.0,0.0,0.0,0.0,1.0,,0.0,0.0
14,Aaron Williams,34.59090909090909,465.5,0.4935909090909091,6.054545454545454,0.9986363636363637,0.4719545454545454,0.2333181818181818,0.1798636363636363,0.1137272727272727,0.001363636,0.4941818181818181,0.6347272727272727,0.3699090909090909,0.3182272727272727,0.3655263157894737,0.111,0.7260909090909091,1.0,0.1390454545454545,14.090909090909092,0.0,,0.0454545454545454,0.0,8.731818181818182,0.5424545454545455,0.001363636,0.3147272727272727,7.454545454545454,16.572727272727274,11.913636363636364,4.209090909090909,1.1727272727272728,2.2818181818181817,17.254545454545454,13.25,0.3181818181818182,0.5499999999999999,0.8772727272727273,0.067909091,-4.981818182,0.1545454545454545,-4.827272727,-0.168181818,3.3181818181818183,5.427272727272728,11.045454545454543,0.4935909090909091,0.0,0.009090909,0.111,5.427272727272728,11.036363636363635,0.4941818181818181,2.709090909090909,3.463636363636364,0.7983181818181818,3.4227272727272724,7.3,10.709090909090907,1.3545454545454545,1.1727272727272728,1.5227272727272727,2.5954545454545457,10.590909090909092,13.586363636363636,102.0,105.95454545454544,0.0,0.01,0.0825,0.385454545,0.600909091,,0.01,0.467954545
22,Adonal Foyle,31.4,500.26666666666665,0.5698333333333333,4.325,0.99975,0.5181666666666667,0.3255,0.089,0.067083333,0.00025,0.57,0.6336666666666667,0.5678333333333333,0.64625,0.1161818181818181,0.0,0.5358333333333333,,0.0434166666666666,7.6,0.0,,0.0,0.0,11.873333333333331,0.5692499999999999,0.00025,0.4009166666666666,11.053333333333336,19.92,15.533333333333331,2.6933333333333334,0.3933333333333333,6.293333333333334,17.133333333333333,9.566666666666666,0.3399999999999999,0.6866666666666668,1.0266666666666666,0.1233333333333333,-3.493333333,1.4466666666666663,-2.08,0.1733333333333333,9.066666666666666,4.373333333333333,7.7,0.5698333333333333,0.0,0.0,0.0,4.373333333333333,7.7,0.57,1.5799999999999998,3.0733333333333333,0.5245833333333333,5.026666666666667,9.333333333333334,14.353333333333332,0.9,0.3933333333333333,4.506666666666666,1.86,7.553333333333333,10.326666666666666,113.08333333333331,102.53333333333332,0.0,0.0,0.0,0.04,0.988,,0.0,0.04
28,Al Horford,63.333333333333336,2039.8,0.5134666666666666,11.32,0.8328666666666666,0.2758666666666666,0.2269333333333333,0.1234666666666666,0.2064,0.1671333333333333,0.5443333333333334,0.7267333333333333,0.4584,0.4484,0.4444666666666667,0.3474666666666666,0.6721333333333334,0.9073333333333332,0.0792,52.53333333333333,0.3311333333333334,0.4755,0.1333333333333333,0.0,18.58,0.5684666666666666,0.1671333333333333,0.1962,7.1066666666666665,21.066666666666663,14.14,16.673333333333332,1.2933333333333332,3.06,11.193333333333332,19.186666666666667,3.693333333333333,2.993333333333333,6.7,0.1552666666666666,1.74,1.2733333333333334,3.0,2.54,62.66666666666666,9.12,17.759999999999998,0.5134666666666666,1.0666666666666669,2.9866666666666664,0.3474666666666666,8.066666666666666,14.78,0.5443333333333334,2.54,3.3466666666666667,0.7658666666666666,3.1866666666666665,9.58,12.753333333333334,5.173333333333333,1.2933333333333332,1.913333333333333,2.4066666666666667,3.453333333333333,21.866666666666667,114.93333333333334,104.73333333333332,0.0,0.0,0.0,0.162666667,0.837333333,,0.0,0.162666667
29,Al Jefferson,65.35714285714286,1878.5,0.5018571428571429,7.421428571428572,0.9942142857142856,0.3401428571428571,0.3328571428571428,0.1915,0.1295714285714286,0.005785714,0.5043571428571428,0.6469285714285714,0.4724285714285714,0.3966428571428571,0.3763571428571429,0.080666667,0.5446428571428571,0.875,0.0532142857142857,41.57142857142857,0.064666667,0.25,1.0714285714285714,0.0,20.064285714285717,0.53,0.005785714,0.2372857142857143,8.95,24.857142857142858,16.821428571428573,9.492857142857144,1.2642857142857142,3.257142857142857,8.421428571428573,24.964285714285715,2.657142857142857,2.407142857142857,5.071428571428571,0.1295,1.0071428571428571,-0.157142857,0.8571428571428571,1.5142857142857142,46.5,11.892857142857142,23.75,0.5018571428571429,0.0142857142857142,0.1285714285714286,0.080666667,11.87857142857143,23.62142857142857,0.5043571428571428,3.8857142857142857,5.492857142857143,0.7135,4.021428571428571,11.021428571428572,15.05,2.6357142857142857,1.2642857142857142,2.142857142857143,2.378571428571429,5.2,27.692857142857143,107.85714285714286,104.5,0.0,0.0,0.0,0.248571429,0.875714286,,0.0,0.248571429
34,Alan Williams,16.75,218.0,0.4845,5.075,0.97975,0.4305,0.417,0.1315,0.001,0.02025,0.498,0.61375,0.452,0.2755,0.0,0.0,0.708,,0.00275,0.75,0.0,,0.25,0.0,20.7,0.52325,0.02025,0.4525,14.15,40.05,26.975,13.875,2.475,2.725,14.4,21.625,0.3,0.325,0.6250000000000001,0.149,-0.625,1.925,1.3250000000000002,0.025,0.0,8.975,17.85,0.4845,0.0,0.475,0.0,8.975,17.375,0.498,4.725,7.775,0.60875,6.45,17.775,24.175,4.05,2.475,1.625,3.35,7.95,22.725,107.5,101.5,0.0,0.0,0.0,0.345,0.6575,,0.0,0.345
39,Aleksandar Radojević,12.0,128.0,0.316,4.2,1.0,0.632,0.211,0.158,0.0,0.0,0.316,0.167,0.5,0.667,,,0.667,,0.053,1.0,,,0.0,0.0,-1.5,0.406,0.0,0.526,8.5,18.9,13.6,7.0,0.0,1.3,39.1,13.8,-0.4,0.1,-0.3,-0.117,-10.7,-0.9,-11.6,-0.3,6.0,2.5,8.1,0.316,0.0,0.0,,2.5,8.1,0.316,3.0,4.2,0.7,3.8,8.1,11.9,2.5,0.0,0.8,6.4,13.6,8.1,67.0,111.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0
41,Alen Smailagić,14.5,111.5,0.4535,11.65,0.6525000000000001,0.3475,0.2545,0.0375,0.0125,0.3475,0.521,0.673,0.393,0.0,1.0,0.3155,0.479,1.0,0.0125,0.5,0.304,0.2915,0.0,0.0,11.7,0.5409999999999999,0.3475,0.3485,7.6,13.1,10.3,10.4,1.35,3.9,16.45,17.9,0.05,0.1,0.1,0.048,-3.2,-0.55,-3.75,-0.05,0.5,6.550000000000001,14.45,0.4535,1.6,5.05,0.3155,4.9,9.4,0.521,3.3,4.95,0.5875,3.4,5.75,9.1,3.35,1.35,2.1,3.3,5.5,18.0,102.0,111.5,0.0,0.0,0.0,0.105,0.895,,0.0,0.105
45,Alex Kirk,5.0,14.0,0.25,9.8,1.0,0.5,0.0,0.0,0.5,0.0,0.25,0.5,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,8.5,0.41,0.0,0.5,8.3,0.0,4.1,10.1,0.0,0.0,0.0,15.7,0.0,0.0,0.0,0.061,-2.5,-3.5,-6.0,0.0,0.0,3.7,14.9,0.25,0.0,0.0,,3.7,14.9,0.25,7.4,7.4,1.0,3.7,0.0,3.7,3.7,0.0,0.0,0.0,3.7,14.9,112.0,115.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0
